date,open,close,high,low
2025-08-06,3615.808,3633.995,3634.314,3613.989
2025-08-07,3637.781,3639.667,3645.117,3622.522
2025-08-08,3634.855,3635.128,3645.367,3625.451
2025-08-11,3637.053,3647.547,3656.852,3629.627
2025-08-12,3647.963,3665.918,3669.038,3647.963
2025-08-13,3668.658,3683.465,3688.628,3666.547
2025-08-14,3685.522,3666.443,3704.772,3662.57
2025-08-15,3659.815,3696.771,3702.255,3658.376
2025-08-18,3712.495,3728.027,3745.939,3702.38
2025-08-19,3728.485,3727.288,3746.669,3718.147
2025-08-20,3716.685,3766.21,3767.43,3704.991
2025-08-21,3770.676,3771.099,3787.981,3757.992
2025-08-22,3772.277,3825.759,3825.759,3772.277
2025-08-25,3848.163,3883.562,3883.562,3839.972
2025-08-26,3871.471,3868.382,3888.599,3859.758
2025-08-27,3869.612,3800.35,3887.198,3800.35
2025-08-28,3796.711,3843.597,3845.087,3761.422
2025-08-29,3842.823,3857.927,3867.606,3839.206
2025-09-01,3869.746,3875.53,3879.045,3853.658
2025-09-02,3877.086,3858.133,3885.315,3828.678
2025-09-03,3865.286,3813.557,3868.388,3794.884
2025-09-04,3807.757,3765.876,3808.396,3732.84
2025-09-05,3761.88,3812.514,3817.159,3745.309
2025-09-08,3811.669,3826.841,3833.143,3803.603
2025-09-09,3816.657,3807.292,3834.671,3791.724
2025-09-10,3806.584,3812.221,3826.996,3794.057
2025-09-11,3806.056,3875.309,3875.309,3796.435
2025-09-12,3875.507,3870.598,3892.738,3866.539
2025-09-15,3876.097,3860.504,3879.737,3855.973
2025-09-16,3865.98,3861.865,3876.69,3838.648
2025-09-17,3854.073,3876.341,3882.669,3848.946
2025-09-18,3876.059,3831.656,3899.959,3800.995
2025-09-19,3830.444,3820.089,3843.17,3811.903
2025-09-22,3822.01,3828.576,3831.74,3806.202
2025-09-23,3830.138,3821.833,3838.606,3774.528
2025-09-24,3804.483,3853.642,3854.923,3804.328
2025-09-25,3852.431,3853.302,3866.106,3840.459
2025-09-26,3839.855,3828.106,3856.606,3828.106
2025-09-29,3828.166,3862.532,3881.002,3809.535
2025-09-30,3869.705,3882.777,3887.57,3866.281
2025-10-09,3898.307,3933.972,3936.576,3885.744
2025-10-10,3915.475,3897.028,3933.005,3886.305
2025-10-13,3800.106,3889.502,3895.83,3800.106
2025-10-14,3910.783,3865.229,3918.436,3851.121
2025-10-15,3867.536,3912.21,3912.291,3857.667
2025-10-16,3900.683,3916.228,3931.05,3899.167
2025-10-17,3912.04,3839.755,3921.065,3835.365
2025-10-20,3865.552,3863.893,3877.722,3850.367
2025-10-21,3870.749,3916.332,3919.318,3868.145
2025-10-22,3896.074,3913.758,3918.592,3893.325
2025-10-23,3904.159,3922.41,3926.217,3877.529
2025-10-24,3929.115,3950.312,3950.312,3928.96
2025-10-27,3969.22,3996.945,3999.067,3963.102
2025-10-28,3986.891,3988.224,4010.728,3976.833
2025-10-29,3990.266,4016.331,4016.331,3986.941
2025-10-30,4007.821,3986.901,4025.705,3984.828
2025-10-31,3985.064,3954.79,3986.743,3951.731
2025-11-03,3954.078,3976.521,3977.305,3937.022
